date,positive,weekly
20200927,7080459,0
20200926,7045170,310804
20200925,6997437,0
20200924,6941911,0
20200923,6898139,0
20200922,6859572,0
20200921,6810133,0
20200920,6770661,0
20200919,6734366,280366
20200918,6688827,0
20200917,6641341,0
20200916,6597783,0
20200915,6557762,0
20200914,6522317,0
20200913,6488453,0
20200912,6454000,239600
20200911,6411913,0
20200910,6366986,0
20200909,6329405,0
20200908,6298422,0
20200907,6276199,0
20200906,6247517,0
20200905,6214400,285153
20200904,6169495,0
20200903,6117904,0
20200902,6073190,0
20200901,6042587,0
20200831,6000154,0
20200830,5968748,0
20200829,5929247,287674
20200828,5884746,0
20200827,5838198,0
20200826,5794214,0
20200825,5750161,0
20200824,5713782,0
20200823,5679139,0
20200822,5641573,302672
20200821,5595337,0
20200820,5548776,0
20200819,5505018,0
20200818,5460063,0
20200817,5419268,0
20200816,5381388,0
20200815,5338901,368095
20200814,5282752,0
20200813,5227116,0
20200812,5175357,0
20200811,5119223,0
20200810,5063522,0
20200809,5021433,0
20200808,4970806,369959
20200807,4917094,0
20200806,4855749,0
20200805,4801562,0
20200804,4749238,0
20200803,4697372,0
20200802,4647659,0
20200801,4600847,437885
20200731,4539746,0
20200730,4472123,0
20200729,4402705,0
20200728,4338297,0
20200727,4279294,0
20200726,4223962,0
20200725,4162962,466093
20200724,4098221,0
20200723,4022985,0
20200722,3951433,0
20200721,3882100,0
20200720,3818170,0
20200719,3761129,0
20200718,3696869,460758
20200717,3631918,0
20200716,3555076,0
20200715,3484040,0
20200714,3418243,0
20200713,3355514,0
20200712,3297423,0
20200711,3236111,390828
20200710,3173216,0
20200709,3106370,0
20200708,3047213,0
20200707,2984541,0
20200706,2932813,0
20200705,2890895,0
20200704,2845283,342599
20200703,2790945,0
20200702,2736997,0
20200701,2682912,0
20200630,2631931,0
20200629,2584067,0
20200628,2544254,0
20200627,2502684,255075
20200626,2459520,0
20200625,2414977,0
20200624,2375337,0
20200623,2336265,0
20200622,2302818,0
20200621,2275537,0
20200620,2247609,179038
20200619,2215315,0
20200618,2183844,0
20200617,2156098,0
20200616,2132097,0
20200615,2108600,0
20200614,2089970,0
20200613,2068571,145281
20200612,2043195,0
20200611,2019598,0
20200610,1997445,0
20200609,1976551,0
20200608,1959239,0
20200607,1942030,0
20200606,1923290,149886
20200605,1900226,0
20200604,1876826,0
20200603,1855946,0
20200602,1835554,0
20200601,1815444,0
20200531,1794962,0
20200530,1773404,144891
20200529,1749722,0
20200528,1726148,0
20200527,1703518,0
20200526,1684081,0
20200525,1667251,0
20200524,1648560,0
20200523,1628513,155919
20200522,1606982,0
20200521,1582535,0
20200520,1555861,0
20200519,1534543,0
20200518,1513644,0
20200517,1492628,0
20200516,1472594,159763
20200515,1447916,0
20200514,1423232,0
20200513,1396434,0
20200512,1375162,0
20200511,1352265,0
20200510,1333894,0
20200509,1312831,175890
20200508,1287613,0
20200507,1260396,0
20200506,1232836,0
20200505,1207740,0
20200504,1185294,0
20200503,1162648,0
20200502,1136941,193745
20200501,1107793,0
20200430,1074764,0
20200429,1044796,0
20200428,1018489,0
20200427,993206,0
20200426,970508,0
20200425,943196,210517
20200424,907325,0
20200423,873091,0
20200422,841281,0
20200421,812326,0
20200420,785965,0
20200419,760066,0
20200418,732679,199879
20200417,704773,0
20200416,672760,0
20200415,641781,0
20200414,611472,0
20200413,585763,0
20200412,560563,0
20200411,532800,215366
20200410,502294,0
20200409,467911,0
20200408,433416,0
20200407,402821,0
20200406,371936,0
20200405,342934,0
20200404,317434,185615
20200403,284222,0
20200402,252146,0
20200401,224086,0
20200331,198295,0
20200330,173442,0
20200329,151400,0
20200328,131819,100781
20200327,112127,0
20200326,92999,0
20200325,75279,0
20200324,62371,0
20200323,51602,0
20200322,40163,0
20200321,31038,26307
20200320,24245,0
20200319,18098,0
20200318,13447,0
20200317,10358,0
20200316,7770,0
20200315,6022,0
20200314,4731,4053
20200313,3807,0
20200312,2735,0
20200311,2064,0
20200310,1555,0
20200309,1168,0
20200308,876,0
20200307,678,660
20200306,500,0
20200305,388,0
20200304,281,0
20200303,142,0
20200302,94,0
20200301,50,0
20200229,18,18
20200228,0,0
20200227,0,0
20200226,0,0
20200225,0,0
20200224,0,0
20200223,0,0
20200222,0,0
20200221,0,0
20200220,0,0
20200219,0,0
20200218,0,0
20200217,0,0
20200216,0,0
20200215,0,0
20200214,0,0
20200213,0,0
20200212,0,0
20200211,0,0
20200210,0,0
20200209,0,0
20200208,0,0
20200207,0,0
20200206,0,0
20200205,0,0
20200204,0,0
20200203,0,0
20200202,0,0
20200201,0,0
20200131,0,0
20200130,0,0
20200129,0,0
20200128,0,0
20200127,0,0
20200126,0,0
20200125,0,0
20200124,0,0
20200123,0,0
20200122,0,0
